 ell ,  cell_SW ,  cell_ISW ,  cell_DOP , cell_POL , 
330 , 384.866 , 43.8621 , 364.344 , 39.3818 , 
331 , 379.348 , 43.25 , 363.393 , 39.5192 , 
332 , 374.029 , 42.6457 , 362.431 , 39.6712 , 
333 , 368.909 , 42.0491 , 361.457 , 39.8377 , 
334 , 363.989 , 41.4601 , 360.474 , 40.0187 , 
335 , 359.271 , 40.8786 , 359.482 , 40.2141 , 
336 , 354.754 , 40.3046 , 358.481 , 40.4237 , 
337 , 350.439 , 39.7379 , 357.473 , 40.6476 , 
338 , 346.326 , 39.1785 , 356.458 , 40.8855 , 
339 , 342.416 , 38.6261 , 355.438 , 41.1373 , 
340 , 338.709 , 38.0808 , 354.413 , 41.403 , 
341 , 335.205 , 37.5424 , 353.384 , 41.6824 , 
342 , 331.905 , 37.0107 , 352.352 , 41.9754 , 
343 , 328.807 , 36.4856 , 351.318 , 42.2818 , 
344 , 325.913 , 35.967 , 350.284 , 42.6015 , 
345 , 323.223 , 35.4547 , 349.25 , 42.9343 , 
346 , 320.735 , 34.9485 , 348.217 , 43.2801 , 
347 , 318.45 , 34.4483 , 347.186 , 43.6386 , 
348 , 316.367 , 33.954 , 346.159 , 44.0098 , 
349 , 314.487 , 33.4653 , 345.136 , 44.3934 , 
350 , 312.808 , 32.982 , 344.118 , 44.7892 , 
351 , 311.331 , 32.504 , 343.107 , 45.1971 , 
352 , 310.053 , 32.0313 , 342.103 , 45.6168 , 
353 , 308.974 , 31.5638 , 341.107 , 46.0482 , 
354 , 308.094 , 31.1018 , 340.118 , 46.491 , 
355 , 307.41 , 30.645 , 339.138 , 46.9451 , 
356 , 306.922 , 30.1936 , 338.166 , 47.4103 , 
357 , 306.628 , 29.7476 , 337.203 , 47.8863 , 
358 , 306.527 , 29.3069 , 336.249 , 48.373 , 
359 , 306.617 , 28.8717 , 335.305 , 48.87 , 
360 , 306.896 , 28.4418 , 334.371 , 49.3772 , 
361 , 307.364 , 28.0174 , 333.447 , 49.8944 , 
362 , 308.017 , 27.5984 , 332.535 , 50.4212 , 
363 , 308.855 , 27.1848 , 331.633 , 50.9574 , 
364 , 309.874 , 26.7766 , 330.743 , 51.5028 , 
365 , 311.074 , 26.3738 , 329.866 , 52.0571 , 
366 , 312.451 , 25.9764 , 329 , 52.6199 , 
367 , 314.004 , 25.5844 , 328.148 , 53.191 , 
368 , 315.73 , 25.1977 , 327.308 , 53.7702 , 
369 , 317.626 , 24.8165 , 326.482 , 54.357 , 
370 , 319.691 , 24.4405 , 325.67 , 54.9513 , 
371 , 321.921 , 24.0699 , 324.873 , 55.5525 , 
372 , 324.313 , 23.7046 , 324.09 , 56.1606 , 
373 , 326.865 , 23.3445 , 323.323 , 56.775 , 
374 , 329.574 , 22.9897 , 322.571 , 57.3955 , 
375 , 332.436 , 22.6401 , 321.835 , 58.0216 , 
376 , 335.449 , 22.2957 , 321.116 , 58.6531 , 
377 , 338.609 , 21.9564 , 320.413 , 59.2896 , 
378 , 341.912 , 21.6222 , 319.728 , 59.9306 , 
379 , 345.356 , 21.2931 , 319.06 , 60.5759 , 
380 , 348.936 , 20.9689 , 318.41 , 61.2249 , 
381 , 352.648 , 20.6498 , 317.779 , 61.8774 , 
382 , 356.49 , 20.3355 , 317.167 , 62.5328 , 
383 , 360.457 , 20.0261 , 316.574 , 63.1908 , 
384 , 364.544 , 19.7214 , 316 , 63.8509 , 
385 , 368.749 , 19.4215 , 315.447 , 64.5126 , 
386 , 373.066 , 19.1263 , 314.914 , 65.1757 , 
387 , 377.491 , 18.8357 , 314.403 , 65.8395 , 
388 , 382.019 , 18.5496 , 313.912 , 66.5036 , 
389 , 386.647 , 18.2679 , 313.444 , 67.1676 , 
390 , 391.369 , 17.9907 , 312.997 , 67.8309 , 
391 , 396.18 , 17.7177 , 312.573 , 68.4931 , 
392 , 401.076 , 17.4489 , 312.173 , 69.1536 , 
393 , 406.051 , 17.1843 , 311.796 , 69.812 , 
394 , 411.1 , 16.9237 , 311.442 , 70.4677 , 
395 , 416.218 , 16.6671 , 311.113 , 71.1202 , 
396 , 421.4 , 16.4143 , 310.809 , 71.7689 , 
397 , 426.639 , 16.1652 , 310.53 , 72.4134 , 
398 , 431.931 , 15.9198 , 310.277 , 73.0529 , 
399 , 437.269 , 15.678 , 310.049 , 73.6871 , 
400 , 442.647 , 15.4395 , 309.848 , 74.3152 , 
401 , 448.061 , 15.2044 , 309.674 , 74.9368 , 
