 k  ,   T2_6 ,   T2_100 ,   T2_200 ,   T2_500 ,   T2_1000 , 
1953.43 , 8.01929e-12 , 2.01179e-13 , 1.7876e-11 , 7.62847e-12 , 2.24337e-11 , 
1953.86 , 1.61979e-11 , 4.76132e-12 , 1.21082e-11 , 1.63671e-11 , 1.12106e-11 , 
1954.29 , 2.04216e-11 , 1.20756e-11 , 4.39026e-12 , 2.16885e-11 , 2.34227e-12 , 
1954.71 , 1.79156e-11 , 1.68104e-11 , 1.01333e-13 , 2.02164e-11 , 2.32297e-13 , 
1955.14 , 1.03798e-11 , 1.55841e-11 , 2.37006e-12 , 1.28905e-11 , 5.90077e-12 , 
1955.57 , 2.79064e-12 , 9.27284e-12 , 9.94168e-12 , 4.36395e-12 , 1.64836e-11 , 
1956 , 1.99166e-14 , 2.40783e-12 , 1.79792e-11 , 5.75638e-14 , 2.66722e-11 , 
1956.42 , 3.56243e-12 , 7.2798e-14 , 2.12633e-11 , 2.73086e-12 , 3.137e-11 , 
1956.85 , 1.05892e-11 , 4.40698e-12 , 1.76542e-11 , 1.07398e-11 , 2.82364e-11 , 
1957.28 , 1.59509e-11 , 1.30739e-11 , 9.50735e-12 , 1.90737e-11 , 1.88471e-11 , 
1957.71 , 1.57609e-11 , 2.07383e-11 , 2.10788e-12 , 2.25133e-11 , 7.8968e-12 , 
1958.13 , 1.01136e-11 , 2.25671e-11 , 1.66714e-13 , 1.89124e-11 , 8.44216e-13 , 
1958.56 , 3.08713e-12 , 1.74142e-11 , 4.72125e-12 , 1.05376e-11 , 1.18295e-12 , 
1958.99 , 3.12482e-15 , 8.55702e-12 , 1.24945e-11 , 2.62347e-12 , 8.7007e-12 , 
1959.42 , 3.78984e-12 , 1.50966e-12 , 1.81287e-11 , 6.84085e-14 , 1.95966e-11 , 
1959.84 , 1.28933e-11 , 3.80173e-13 , 1.77862e-11 , 4.3562e-12 , 2.83921e-11 , 
1960.27 , 2.21581e-11 , 5.21994e-12 , 1.17137e-11 , 1.26464e-11 , 3.06771e-11 , 
1960.7 , 2.61042e-11 , 1.21211e-11 , 4.05518e-12 , 1.95966e-11 , 2.53132e-11 , 
1961.13 , 2.24311e-11 , 1.59705e-11 , 5.69207e-14 , 2.07587e-11 , 1.49969e-11 , 
1961.55 , 1.34263e-11 , 1.3976e-11 , 2.53422e-12 , 1.53941e-11 , 4.89929e-12 , 
1961.98 , 4.37983e-12 , 7.58239e-12 , 9.96986e-12 , 6.93655e-12 , 7.24044e-14 , 
1962.41 , 9.5578e-14 , 1.47653e-12 , 1.75101e-11 , 8.09325e-13 , 2.91906e-12 , 
1962.84 , 1.85671e-12 , 3.67759e-13 , 2.01935e-11 , 9.86108e-13 , 1.19952e-11 , 
1963.27 , 6.85693e-12 , 5.71712e-12 , 1.62515e-11 , 7.46767e-12 , 2.27401e-11 , 
1963.69 , 1.04254e-11 , 1.46363e-11 , 8.28451e-12 , 1.62695e-11 , 2.97667e-11 , 
1964.12 , 9.47208e-12 , 2.17096e-11 , 1.5274e-12 , 2.19229e-11 , 2.95589e-11 , 
1964.55 , 4.77055e-12 , 2.25338e-11 , 3.7153e-13 , 2.09126e-11 , 2.22294e-11 , 
1964.98 , 4.87673e-13 , 1.66047e-11 , 5.4594e-12 , 1.3877e-11 , 1.14525e-11 , 
