k , T_6  , T_100 , T_200 , T_500 , T_1000 , 
0.763373 , -3.17822e-07 , 5.16683e-177 , 0 , 0 , 0 , 
0.764037 , -3.19465e-07 , 5.24884e-177 , 0 , 0 , 0 , 
0.764702 , -3.21114e-07 , 5.33064e-177 , 0 , 0 , 0 , 
0.765368 , -3.22767e-07 , 5.41223e-177 , 0 , 0 , 0 , 
0.766034 , -3.24426e-07 , 5.4936e-177 , 0 , 0 , 0 , 
0.766701 , -3.2609e-07 , 5.57474e-177 , 0 , 0 , 0 , 
0.767368 , -3.27759e-07 , 5.65566e-177 , 0 , 0 , 0 , 
0.768036 , -3.29434e-07 , 5.73635e-177 , 0 , 0 , 0 , 
0.768705 , -3.31114e-07 , 5.81679e-177 , 0 , 0 , 0 , 
0.769374 , -3.328e-07 , 5.897e-177 , 0 , 0 , 0 , 
0.770043 , -3.34491e-07 , 5.97696e-177 , 0 , 0 , 0 , 
0.770714 , -3.36188e-07 , 6.05667e-177 , 0 , 0 , 0 , 
0.771384 , -3.3789e-07 , 6.13613e-177 , 0 , 0 , 0 , 
0.772056 , -3.39599e-07 , 6.21533e-177 , 0 , 0 , 0 , 
0.772728 , -3.41313e-07 , 6.29426e-177 , 0 , 0 , 0 , 
0.773401 , -3.43033e-07 , 6.37293e-177 , 0 , 0 , 0 , 
0.774074 , -3.44759e-07 , 6.45132e-177 , 0 , 0 , 0 , 
0.774747 , -3.4649e-07 , 6.52943e-177 , 0 , 0 , 0 , 
0.775422 , -3.48228e-07 , 6.60727e-177 , 0 , 0 , 0 , 
0.776097 , -3.49972e-07 , 6.68481e-177 , 0 , 0 , 0 , 
0.776772 , -3.51723e-07 , 6.76207e-177 , 0 , 0 , 0 , 
0.777448 , -3.53479e-07 , 6.83903e-177 , 0 , 0 , 0 , 
0.778125 , -3.55242e-07 , 6.91568e-177 , 0 , 0 , 0 , 
0.778802 , -3.57011e-07 , 6.99204e-177 , 0 , 0 , 0 , 
0.77948 , -3.58787e-07 , 7.06808e-177 , 0 , 0 , 0 , 
0.780159 , -3.60569e-07 , 7.1438e-177 , 0 , 0 , 0 , 
0.780838 , -3.62358e-07 , 7.21921e-177 , 0 , 0 , 0 , 
0.781517 , -3.64153e-07 , 7.29429e-177 , 0 , 0 , 0 , 
0.782198 , -3.65955e-07 , 7.36904e-177 , 0 , 0 , 0 , 
0.782879 , -3.67764e-07 , 7.44346e-177 , 0 , 0 , 0 , 
0.78356 , -3.6958e-07 , 7.51754e-177 , 0 , 0 , 0 , 
0.784242 , -3.71402e-07 , 7.59127e-177 , 0 , 0 , 0 , 
0.784925 , -3.73232e-07 , 7.66465e-177 , 0 , 0 , 0 , 
0.785608 , -3.75068e-07 , 7.73768e-177 , 0 , 0 , 0 , 
0.786292 , -3.76912e-07 , 7.81035e-177 , 0 , 0 , 0 , 
0.786976 , -3.78763e-07 , 7.88266e-177 , 0 , 0 , 0 , 
0.787661 , -3.80621e-07 , 7.95459e-177 , 0 , 0 , 0 , 
0.788347 , -3.82486e-07 , 8.02616e-177 , 0 , 0 , 0 , 
0.789033 , -3.84359e-07 , 8.09734e-177 , 0 , 0 , 0 , 
0.78972 , -3.86239e-07 , 8.16813e-177 , 0 , 0 , 0 , 
0.790407 , -3.88127e-07 , 8.23854e-177 , 0 , 0 , 0 , 
0.791095 , -3.90022e-07 , 8.30855e-177 , 0 , 0 , 0 , 
0.791784 , -3.91925e-07 , 8.37816e-177 , 0 , 0 , 0 , 
0.792473 , -3.93836e-07 , 8.44737e-177 , 0 , 0 , 0 , 
0.793163 , -3.95754e-07 , 8.51617e-177 , 0 , 0 , 0 , 
0.793853 , -3.9768e-07 , 8.58455e-177 , 0 , 0 , 0 , 
0.794544 , -3.99614e-07 , 8.65251e-177 , 0 , 0 , 0 , 
0.795235 , -4.01557e-07 , 8.72004e-177 , 0 , 0 , 0 , 
0.795928 , -4.03507e-07 , 8.78714e-177 , 0 , 0 , 0 , 
0.79662 , -4.05465e-07 , 8.8538e-177 , 0 , 0 , 0 , 
0.797314 , -4.07432e-07 , 8.92002e-177 , 0 , 0 , 0 , 
0.798008 , -4.09407e-07 , 8.98579e-177 , 0 , 0 , 0 , 
0.798702 , -4.1139e-07 , 9.05111e-177 , 0 , 0 , 0 , 
0.799398 , -4.13382e-07 , 9.11597e-177 , 0 , 0 , 0 , 
0.800093 , -4.15382e-07 , 9.18037e-177 , 0 , 0 , 0 , 
0.80079 , -4.17391e-07 , 9.24429e-177 , 0 , 0 , 0 , 
0.801487 , -4.19408e-07 , 9.30775e-177 , 0 , 0 , 0 , 
0.802185 , -4.21434e-07 , 9.37072e-177 , 0 , 0 , 0 , 
0.802883 , -4.23469e-07 , 9.4332e-177 , 0 , 0 , 0 , 
0.803582 , -4.25513e-07 , 9.49519e-177 , 0 , 0 , 0 , 
0.804281 , -4.27566e-07 , 9.55668e-177 , 0 , 0 , 0 , 
0.804981 , -4.29628e-07 , 9.61768e-177 , 0 , 0 , 0 , 
0.805682 , -4.31698e-07 , 9.67816e-177 , 0 , 0 , 0 , 
0.806383 , -4.33779e-07 , 9.73812e-177 , 0 , 0 , 0 , 
0.807085 , -4.35868e-07 , 9.79757e-177 , 0 , 0 , 0 , 
0.807787 , -4.37967e-07 , 9.85649e-177 , 0 , 0 , 0 , 
0.808491 , -4.40075e-07 , 9.91488e-177 , 0 , 0 , 0 , 
0.809194 , -4.42192e-07 , 9.97273e-177 , 0 , 0 , 0 , 
0.809899 , -4.44319e-07 , 1.003e-176 , 0 , 0 , 0 , 
0.810604 , -4.46456e-07 , 1.00868e-176 , 0 , 0 , 0 , 
0.811309 , -4.48603e-07 , 1.0143e-176 , 0 , 0 , 0 , 
0.812015 , -4.50759e-07 , 1.01986e-176 , 0 , 0 , 0 , 
0.812722 , -4.52925e-07 , 1.02537e-176 , 0 , 0 , 0 , 
0.81343 , -4.55101e-07 , 1.03082e-176 , 0 , 0 , 0 , 
0.814138 , -4.57287e-07 , 1.03621e-176 , 0 , 0 , 0 , 
0.814846 , -4.59484e-07 , 1.04155e-176 , 0 , 0 , 0 , 
0.815555 , -4.6169e-07 , 1.04682e-176 , 0 , 0 , 0 , 
0.816265 , -4.63907e-07 , 1.05204e-176 , 0 , 0 , 0 , 
0.816976 , -4.66134e-07 , 1.05719e-176 , 0 , 0 , 0 , 
0.817687 , -4.68372e-07 , 1.06229e-176 , 0 , 0 , 0 , 
0.818399 , -4.7062e-07 , 1.06732e-176 , 0 , 0 , 0 , 
0.819111 , -4.72878e-07 , 1.07229e-176 , 0 , 0 , 0 , 
0.819824 , -4.75148e-07 , 1.0772e-176 , 0 , 0 , 0 , 
0.820538 , -4.77428e-07 , 1.08204e-176 , 0 , 0 , 0 , 
0.821252 , -4.79719e-07 , 1.08682e-176 , 0 , 0 , 0 , 
0.821967 , -4.82021e-07 , 1.09153e-176 , 0 , 0 , 0 , 
0.822682 , -4.84334e-07 , 1.09618e-176 , 0 , 0 , 0 , 
0.823398 , -4.86658e-07 , 1.10077e-176 , 0 , 0 , 0 , 
0.824115 , -4.88994e-07 , 1.10529e-176 , 0 , 0 , 0 , 
0.824832 , -4.9134e-07 , 1.10974e-176 , 0 , 0 , 0 , 
0.82555 , -4.93698e-07 , 1.11412e-176 , 0 , 0 , 0 , 
0.826269 , -4.96068e-07 , 1.11843e-176 , 0 , 0 , 0 , 
0.826988 , -4.98448e-07 , 1.12268e-176 , 0 , 0 , 0 , 
0.827708 , -5.00841e-07 , 1.12685e-176 , 0 , 0 , 0 , 
0.828428 , -5.03245e-07 , 1.13096e-176 , 0 , 0 , 0 , 
0.829149 , -5.05661e-07 , 1.13499e-176 , 0 , 0 , 0 , 
0.829871 , -5.08089e-07 , 1.13895e-176 , 0 , 0 , 0 , 
0.830593 , -5.10529e-07 , 1.14284e-176 , 0 , 0 , 0 , 
0.831316 , -5.12981e-07 , 1.14666e-176 , 0 , 0 , 0 , 
0.83204 , -5.15446e-07 , 1.1504e-176 , 0 , 0 , 0 , 
0.832764 , -5.17922e-07 , 1.15407e-176 , 0 , 0 , 0 , 
0.833489 , -5.20411e-07 , 1.15766e-176 , 0 , 0 , 0 , 
0.834214 , -5.22912e-07 , 1.16118e-176 , 0 , 0 , 0 , 
0.83494 , -5.25425e-07 , 1.16462e-176 , 0 , 0 , 0 , 
0.835667 , -5.27952e-07 , 1.16798e-176 , 0 , 0 , 0 , 
0.836395 , -5.30491e-07 , 1.17127e-176 , 0 , 0 , 0 , 
0.837123 , -5.33042e-07 , 1.17448e-176 , 0 , 0 , 0 , 
0.837851 , -5.35607e-07 , 1.17761e-176 , 0 , 0 , 0 , 
0.838581 , -5.38185e-07 , 1.18066e-176 , 0 , 0 , 0 , 
0.83931 , -5.40775e-07 , 1.18362e-176 , 0 , 0 , 0 , 
0.840041 , -5.43379e-07 , 1.18651e-176 , 0 , 0 , 0 , 
0.840772 , -5.45996e-07 , 1.18932e-176 , 0 , 0 , 0 , 
0.841504 , -5.48627e-07 , 1.19204e-176 , 0 , 0 , 0 , 
0.842236 , -5.5127e-07 , 1.19468e-176 , 0 , 0 , 0 , 
0.84297 , -5.53928e-07 , 1.19723e-176 , 0 , 0 , 0 , 
0.843703 , -5.56599e-07 , 1.1997e-176 , 0 , 0 , 0 , 
0.844438 , -5.59283e-07 , 1.20209e-176 , 0 , 0 , 0 , 
0.845173 , -5.61982e-07 , 1.20439e-176 , 0 , 0 , 0 , 
0.845908 , -5.64694e-07 , 1.2066e-176 , 0 , 0 , 0 , 
0.846645 , -5.67421e-07 , 1.20872e-176 , 0 , 0 , 0 , 
0.847382 , -5.70161e-07 , 1.21076e-176 , 0 , 0 , 0 , 
0.848119 , -5.72916e-07 , 1.2127e-176 , 0 , 0 , 0 , 
0.848857 , -5.75685e-07 , 1.21456e-176 , 0 , 0 , 0 , 
0.849596 , -5.78469e-07 , 1.21633e-176 , 0 , 0 , 0 , 
0.850336 , -5.81267e-07 , 1.218e-176 , 0 , 0 , 0 , 
0.851076 , -5.84079e-07 , 1.21958e-176 , 0 , 0 , 0 , 
0.851817 , -5.86906e-07 , 1.22107e-176 , 0 , 0 , 0 , 
0.852558 , -5.89749e-07 , 1.22247e-176 , 0 , 0 , 0 , 
0.8533 , -5.92605e-07 , 1.22377e-176 , 0 , 0 , 0 , 
0.854043 , -5.95477e-07 , 1.22498e-176 , 0 , 0 , 0 , 
0.854786 , -5.98364e-07 , 1.22609e-176 , 0 , 0 , 0 , 
0.85553 , -6.01267e-07 , 1.2271e-176 , 0 , 0 , 0 , 
0.856275 , -6.04184e-07 , 1.22802e-176 , 0 , 0 , 0 , 
0.85702 , -6.07117e-07 , 1.22884e-176 , 0 , 0 , 0 , 
0.857766 , -6.10066e-07 , 1.22956e-176 , 0 , 0 , 0 , 
0.858513 , -6.1303e-07 , 1.23018e-176 , 0 , 0 , 0 , 
0.85926 , -6.16009e-07 , 1.2307e-176 , 0 , 0 , 0 , 
0.860008 , -6.19005e-07 , 1.23112e-176 , 0 , 0 , 0 , 
0.860757 , -6.22017e-07 , 1.23143e-176 , 0 , 0 , 0 , 
0.861506 , -6.25044e-07 , 1.23165e-176 , 0 , 0 , 0 , 
0.862256 , -6.28088e-07 , 1.23176e-176 , 0 , 0 , 0 , 
0.863006 , -6.31148e-07 , 1.23176e-176 , 0 , 0 , 0 , 
0.863757 , -6.34224e-07 , 1.23166e-176 , 0 , 0 , 0 , 
0.864509 , -6.37317e-07 , 1.23146e-176 , 0 , 0 , 0 , 
0.865262 , -6.40426e-07 , 1.23115e-176 , 0 , 0 , 0 , 
0.866015 , -6.43552e-07 , 1.23073e-176 , 0 , 0 , 0 , 
0.866769 , -6.46694e-07 , 1.2302e-176 , 0 , 0 , 0 , 
0.867523 , -6.49854e-07 , 1.22956e-176 , 0 , 0 , 0 , 
0.868278 , -6.53031e-07 , 1.22881e-176 , 0 , 0 , 0 , 
0.869034 , -6.56224e-07 , 1.22795e-176 , 0 , 0 , 0 , 
0.86979 , -6.59435e-07 , 1.22698e-176 , 0 , 0 , 0 , 
0.870547 , -6.62663e-07 , 1.2259e-176 , 0 , 0 , 0 , 
0.871305 , -6.65909e-07 , 1.22471e-176 , 0 , 0 , 0 , 
0.872064 , -6.69172e-07 , 1.2234e-176 , 0 , 0 , 0 , 
0.872823 , -6.72453e-07 , 1.22197e-176 , 0 , 0 , 0 , 
0.873582 , -6.75751e-07 , 1.22043e-176 , 0 , 0 , 0 , 
0.874343 , -6.79068e-07 , 1.21877e-176 , 0 , 0 , 0 , 
0.875104 , -6.82402e-07 , 1.217e-176 , 0 , 0 , 0 , 
0.875866 , -6.85755e-07 , 1.2151e-176 , 0 , 0 , 0 , 
0.876628 , -6.89125e-07 , 1.21309e-176 , 0 , 0 , 0 , 
0.877391 , -6.92514e-07 , 1.21096e-176 , 0 , 0 , 0 , 
0.878155 , -6.95922e-07 , 1.2087e-176 , 0 , 0 , 0 , 
0.878919 , -6.99348e-07 , 1.20632e-176 , 0 , 0 , 0 , 
0.879684 , -7.02793e-07 , 1.20383e-176 , 0 , 0 , 0 , 
0.88045 , -7.06256e-07 , 1.2012e-176 , 0 , 0 , 0 , 
0.881216 , -7.09739e-07 , 1.19846e-176 , 0 , 0 , 0 , 
0.881983 , -7.1324e-07 , 1.19558e-176 , 0 , 0 , 0 , 
0.882751 , -7.16761e-07 , 1.19259e-176 , 0 , 0 , 0 , 
0.883519 , -7.20301e-07 , 1.18946e-176 , 0 , 0 , 0 , 
0.884288 , -7.2386e-07 , 1.18621e-176 , 0 , 0 , 0 , 
0.885058 , -7.27438e-07 , 1.18282e-176 , 0 , 0 , 0 , 
0.885828 , -7.31037e-07 , 1.17931e-176 , 0 , 0 , 0 , 
0.886599 , -7.34655e-07 , 1.17567e-176 , 0 , 0 , 0 , 
0.887371 , -7.38293e-07 , 1.17189e-176 , 0 , 0 , 0 , 
0.888143 , -7.41951e-07 , 1.16798e-176 , 0 , 0 , 0 , 
0.888916 , -7.45629e-07 , 1.16394e-176 , 0 , 0 , 0 , 
0.88969 , -7.49327e-07 , 1.15977e-176 , 0 , 0 , 0 , 
