k , Pk , 
8.7812e-05 , 369.055 , 
8.78884e-05 , 369.365 , 
8.79649e-05 , 369.675 , 
8.80415e-05 , 369.986 , 
8.81181e-05 , 370.296 , 
8.81948e-05 , 370.607 , 
8.82716e-05 , 370.918 , 
8.83484e-05 , 371.229 , 
8.84253e-05 , 371.541 , 
8.85023e-05 , 371.853 , 
8.85793e-05 , 372.165 , 
8.86564e-05 , 372.478 , 
8.87336e-05 , 372.79 , 
8.88108e-05 , 373.103 , 
8.88881e-05 , 373.416 , 
8.89655e-05 , 373.73 , 
8.90429e-05 , 374.043 , 
8.91204e-05 , 374.357 , 
8.9198e-05 , 374.672 , 
8.92756e-05 , 374.986 , 
8.93533e-05 , 375.301 , 
8.94311e-05 , 375.616 , 
8.95089e-05 , 375.931 , 
8.95869e-05 , 376.247 , 
8.96648e-05 , 376.563 , 
8.97429e-05 , 376.879 , 
8.9821e-05 , 377.195 , 
8.98992e-05 , 377.512 , 
8.99774e-05 , 377.829 , 
9.00557e-05 , 378.146 , 
9.01341e-05 , 378.463 , 
9.02126e-05 , 378.781 , 
9.02911e-05 , 379.099 , 
9.03697e-05 , 379.417 , 
9.04484e-05 , 379.736 , 
9.05271e-05 , 380.054 , 
9.06059e-05 , 380.373 , 
9.06847e-05 , 380.693 , 
9.07637e-05 , 381.012 , 
9.08427e-05 , 381.332 , 
9.09218e-05 , 381.652 , 
9.10009e-05 , 381.973 , 
9.10801e-05 , 382.293 , 
9.11594e-05 , 382.614 , 
9.12387e-05 , 382.935 , 
9.13181e-05 , 383.257 , 
9.13976e-05 , 383.578 , 
9.14772e-05 , 383.9 , 
9.15568e-05 , 384.223 , 
9.16365e-05 , 384.545 , 
9.17163e-05 , 384.868 , 
9.17961e-05 , 385.191 , 
9.1876e-05 , 385.514 , 
9.1956e-05 , 385.838 , 
9.2036e-05 , 386.162 , 
9.21161e-05 , 386.486 , 
9.21963e-05 , 386.81 , 
9.22765e-05 , 387.135 , 
9.23569e-05 , 387.46 , 
9.24373e-05 , 387.785 , 
9.25177e-05 , 388.111 , 
9.25982e-05 , 388.437 , 
9.26788e-05 , 388.763 , 
9.27595e-05 , 389.089 , 
9.28402e-05 , 389.415 , 
9.29211e-05 , 389.742 , 
9.30019e-05 , 390.069 , 
9.30829e-05 , 390.397 , 
9.31639e-05 , 390.725 , 
9.3245e-05 , 391.053 , 
9.33262e-05 , 391.381 , 
9.34074e-05 , 391.709 , 
9.34887e-05 , 392.038 , 
9.35701e-05 , 392.367 , 
9.36515e-05 , 392.697 , 
9.3733e-05 , 393.026 , 
9.38146e-05 , 393.356 , 
9.38963e-05 , 393.686 , 
9.3978e-05 , 394.017 , 
9.40598e-05 , 394.347 , 
9.41417e-05 , 394.678 , 
9.42236e-05 , 395.01 , 
9.43056e-05 , 395.341 , 
9.43877e-05 , 395.673 , 
9.44699e-05 , 396.005 , 
9.45521e-05 , 396.338 , 
9.46344e-05 , 396.67 , 
9.47168e-05 , 397.003 , 
9.47992e-05 , 397.336 , 
9.48817e-05 , 397.67 , 
9.49643e-05 , 398.004 , 
9.5047e-05 , 398.338 , 
9.51297e-05 , 398.672 , 
9.52125e-05 , 399.007 , 
9.52954e-05 , 399.342 , 
9.53783e-05 , 399.677 , 
9.54614e-05 , 400.012 , 
9.55444e-05 , 400.348 , 
9.56276e-05 , 400.684 , 
9.57108e-05 , 401.02 , 
9.57941e-05 , 401.357 , 
9.58775e-05 , 401.694 , 
9.5961e-05 , 402.031 , 
9.60445e-05 , 402.369 , 
9.61281e-05 , 402.706 , 
9.62118e-05 , 403.044 , 
9.62955e-05 , 403.383 , 
9.63793e-05 , 403.721 , 
9.64632e-05 , 404.06 , 
9.65472e-05 , 404.399 , 
9.66312e-05 , 404.739 , 
9.67153e-05 , 405.078 , 
9.67995e-05 , 405.418 , 
9.68838e-05 , 405.759 , 
9.69681e-05 , 406.099 , 
9.70525e-05 , 406.44 , 
9.7137e-05 , 406.781 , 
9.72215e-05 , 407.123 , 
9.73062e-05 , 407.464 , 
9.73909e-05 , 407.806 , 
9.74756e-05 , 408.149 , 
9.75605e-05 , 408.491 , 
9.76454e-05 , 408.834 , 
9.77304e-05 , 409.177 , 
9.78154e-05 , 409.521 , 
9.79006e-05 , 409.864 , 
9.79858e-05 , 410.208 , 
9.80711e-05 , 410.553 , 
9.81565e-05 , 410.897 , 
9.82419e-05 , 411.242 , 
9.83274e-05 , 411.587 , 
9.8413e-05 , 411.933 , 
9.84987e-05 , 412.278 , 
9.85844e-05 , 412.624 , 
9.86702e-05 , 412.971 , 
9.87561e-05 , 413.317 , 
9.8842e-05 , 413.664 , 
9.89281e-05 , 414.012 , 
9.90142e-05 , 414.359 , 
9.91004e-05 , 414.707 , 
9.91866e-05 , 415.055 , 
9.9273e-05 , 415.403 , 
9.93594e-05 , 415.752 , 
9.94458e-05 , 416.101 , 
9.95324e-05 , 416.45 , 
9.9619e-05 , 416.8 , 
9.97058e-05 , 417.149 , 
9.97925e-05 , 417.5 , 
9.98794e-05 , 417.85 , 
9.99663e-05 , 418.201 , 
0.000100053 , 418.552 , 
0.00010014 , 418.903 , 
0.000100228 , 419.254 , 
0.000100315 , 419.606 , 
0.000100402 , 419.959 , 
0.00010049 , 420.311 , 
0.000100577 , 420.664 , 
