z , j_6 , j_100 , j_200 , j_500 , j_1000 , 
395.479 , 0.000767743 , -0.000227463 , 0.00267456 , 5.78124e-118 , 0 , 
395.679 , 0.000273604 , 0.000269054 , 0.0027215 , -1.0677e-117 , 0 , 
395.879 , -0.000230947 , 0.000755041 , 0.00268768 , -3.27287e-120 , 0 , 
396.079 , -0.000725783 , 0.00121237 , 0.00257417 , 8.13376e-117 , 0 , 
396.279 , -0.00119119 , 0.001624 , 0.00238438 , -3.71838e-116 , 0 , 
396.479 , -0.00160865 , 0.00197463 , 0.00212402 , 1.07236e-115 , 0 , 
396.679 , -0.0019616 , 0.00225125 , 0.00180085 , -1.83988e-115 , 0 , 
396.879 , -0.00223602 , 0.00244359 , 0.00142452 , -6.16883e-116 , 0 , 
397.079 , -0.00242104 , 0.00254454 , 0.00100623 , 1.66244e-114 , 0 , 
397.279 , -0.00250938 , 0.00255043 , 0.000558452 , -7.15559e-114 , 0 , 
397.479 , -0.00249764 , 0.00246114 , 9.45271e-05 , 1.97967e-113 , 0 , 
397.68 , -0.0023864 , 0.0022801 , -0.000371745 , -3.12352e-113 , 0 , 
397.88 , -0.00218015 , 0.00201413 , -0.000826489 , -2.29526e-113 , 0 , 
398.08 , -0.0018872 , 0.00167323 , -0.00125617 , 3.36552e-112 , 0 , 
398.28 , -0.00151935 , 0.00127022 , -0.00164801 , -1.37132e-111 , 0 , 
398.48 , -0.00109133 , 0.0008202 , -0.00199038 , 3.63616e-111 , 0 , 
398.68 , -0.00062025 , 0.000340008 , -0.0022731 , -5.20533e-111 , 0 , 
398.88 , -0.000124912 , -0.000152404 , -0.00248779 , -6.42172e-111 , 0 , 
399.08 , 0.000374905 , -0.000638628 , -0.00262807 , 6.75748e-110 , 0 , 
399.28 , 0.000859273 , -0.00110051 , -0.00268983 , -2.61742e-109 , 0 , 
399.48 , 0.00130892 , -0.00152084 , -0.00267128 , 6.64246e-109 , 0 , 
399.68 , 0.00170596 , -0.00188395 , -0.00257302 , -8.47035e-109 , 0 , 
399.88 , 0.00203461 , -0.00217633 , -0.00239804 , -1.59719e-108 , 0 , 
400.08 , 0.00228183 , -0.00238711 , -0.0021516 , 1.34705e-107 , 0 , 
400.28 , 0.00243787 , -0.00250851 , -0.00184114 , -4.97583e-107 , 0 , 
400.48 , 0.00249662 , -0.00253609 , -0.00147596 , 1.20628e-106 , 0 , 
400.68 , 0.00245582 , -0.00246891 , -0.00106703 , -1.3348e-106 , 0 , 
400.88 , 0.00231718 , -0.00230952 , -0.000626585 , -3.72258e-106 , 0 , 
401.08 , 0.00208631 , -0.002064 , -0.000167838 , 2.66803e-105 , 0 , 
401.28 , 0.00177254 , -0.00174159 , 0.00029547 , -9.42151e-105 , 0 , 
401.48 , 0.00138846 , -0.00135444 , 0.000749472 , 2.17647e-104 , 0 , 
401.68 , 0.000949417 , -0.000917048 , 0.00118058 , -2.00875e-104 , 0 , 
401.88 , 0.000472967 , -0.000445808 , 0.00157589 , -8.32387e-104 , 0 , 
402.08 , -2.18532e-05 , 4.1622e-05 , 0.00192358 , 5.25376e-103 , 0 , 
402.28 , -0.000515304 , 0.000527006 , 0.00221327 , -1.77674e-102 , 0 , 
402.48 , -0.000987734 , 0.000992211 , 0.0024363 , 3.89878e-102 , 0 , 
402.681 , -0.00142034 , 0.00141987 , 0.00258605 , -2.81081e-102 , 0 , 
402.881 , -0.0017959 , 0.001794 , 0.00265803 , -1.80821e-101 , 0 , 
403.081 , -0.00209951 , 0.00210068 , 0.00265016 , 1.02904e-100 , 0 , 
403.281 , -0.00231915 , 0.00232851 , 0.00256274 , -3.33694e-100 , 0 , 
403.481 , -0.00244616 , 0.00246905 , 0.00239843 , 6.9277e-100 , 0 , 
403.681 , -0.00247557 , 0.00251712 , 0.00216224 , -3.43678e-100 , 0 , 
403.881 , -0.00240626 , 0.00247098 , 0.00186128 , -3.84471e-99 , 0 , 
404.081 , -0.00224113 , 0.00233246 , 0.00150466 , 2.00561e-98 , 0 , 
404.281 , -0.00198685 , 0.00210685 , 0.00110316 , -6.24085e-98 , 0 , 
404.481 , -0.00165366 , 0.00180265 , 0.000668863 , 1.21965e-97 , 0 , 
404.681 , -0.00125488 , 0.00143132 , 0.000214868 , -2.95636e-98 , 0 , 
404.881 , -0.00080648 , 0.00100679 , -0.000245147 , -8.04005e-97 , 0 , 
405.081 , -0.000326385 , 0.000545017 , -0.000697321 , 3.8908e-96 , 0 , 
405.281 , 0.000166237 , 6.33126e-05 , -0.00112804 , -1.16211e-95 , 0 , 
405.481 , 0.000651753 , -0.000420288 , -0.00152436 , 2.12432e-95 , 0 , 
405.681 , 0.00111082 , -0.00088769 , -0.00187433 , 1.02873e-96 , 0 , 
405.881 , 0.00152516 , -0.0013214 , -0.00216745 , -1.65903e-94 , 0 , 
406.081 , 0.0018783 , -0.00170523 , -0.00239489 , 7.51467e-94 , 0 , 
406.281 , 0.00215624 , -0.00202485 , -0.00254987 , -2.15413e-93 , 0 , 
