  x  ,    Xe  ,   ne   , 
-45.9955 , 1.25242e-25 , 2.66586e+34 , 
-45.995 , 1.25242e-25 , 2.66178e+34 , 
-45.9945 , 1.25242e-25 , 2.65771e+34 , 
-45.994 , 1.25242e-25 , 2.65364e+34 , 
-45.9935 , 1.25242e-25 , 2.64958e+34 , 
-45.993 , 1.25242e-25 , 2.64553e+34 , 
-45.9925 , 1.25242e-25 , 2.64148e+34 , 
-45.992 , 1.25242e-25 , 2.63744e+34 , 
-45.9915 , 1.25242e-25 , 2.6334e+34 , 
-45.9909 , 1.25242e-25 , 2.62937e+34 , 
-45.9904 , 1.25242e-25 , 2.62534e+34 , 
-45.9899 , 1.25242e-25 , 2.62133e+34 , 
-45.9894 , 1.25242e-25 , 2.61732e+34 , 
-45.9889 , 1.25242e-25 , 2.61331e+34 , 
-45.9884 , 1.25242e-25 , 2.60931e+34 , 
-45.9879 , 1.25242e-25 , 2.60532e+34 , 
-45.9874 , 1.25242e-25 , 2.60133e+34 , 
-45.9869 , 1.25242e-25 , 2.59735e+34 , 
-45.9864 , 1.25242e-25 , 2.59337e+34 , 
-45.9858 , 1.25242e-25 , 2.5894e+34 , 
-45.9853 , 1.25242e-25 , 2.58544e+34 , 
-45.9848 , 1.25242e-25 , 2.58149e+34 , 
-45.9843 , 1.25242e-25 , 2.57753e+34 , 
-45.9838 , 1.25242e-25 , 2.57359e+34 , 
-45.9833 , 1.25242e-25 , 2.56965e+34 , 
-45.9828 , 1.25242e-25 , 2.56572e+34 , 
-45.9823 , 1.25242e-25 , 2.56179e+34 , 
-45.9818 , 1.25242e-25 , 2.55787e+34 , 
-45.9812 , 1.25242e-25 , 2.55396e+34 , 
-45.9807 , 1.25242e-25 , 2.55005e+34 , 
-45.9802 , 1.25242e-25 , 2.54615e+34 , 
-45.9797 , 1.25242e-25 , 2.54225e+34 , 
-45.9792 , 1.25242e-25 , 2.53836e+34 , 
-45.9787 , 1.25242e-25 , 2.53447e+34 , 
-45.9782 , 1.25242e-25 , 2.5306e+34 , 
-45.9777 , 1.25242e-25 , 2.52672e+34 , 
-45.9772 , 1.25242e-25 , 2.52286e+34 , 
-45.9767 , 1.25242e-25 , 2.51899e+34 , 
-45.9761 , 1.25242e-25 , 2.51514e+34 , 
-45.9756 , 1.25242e-25 , 2.51129e+34 , 
-45.9751 , 1.25242e-25 , 2.50745e+34 , 
-45.9746 , 1.25242e-25 , 2.50361e+34 , 
-45.9741 , 1.25242e-25 , 2.49978e+34 , 
-45.9736 , 1.25242e-25 , 2.49595e+34 , 
-45.9731 , 1.25242e-25 , 2.49213e+34 , 
-45.9726 , 1.25242e-25 , 2.48832e+34 , 
-45.9721 , 1.25242e-25 , 2.48451e+34 , 
-45.9715 , 1.25242e-25 , 2.48071e+34 , 
-45.971 , 1.25242e-25 , 2.47691e+34 , 
-45.9705 , 1.25242e-25 , 2.47312e+34 , 
-45.97 , 1.25242e-25 , 2.46934e+34 , 
-45.9695 , 1.25242e-25 , 2.46556e+34 , 
-45.969 , 1.25242e-25 , 2.46178e+34 , 
-45.9685 , 1.25242e-25 , 2.45802e+34 , 
-45.968 , 1.25242e-25 , 2.45426e+34 , 
-45.9675 , 1.25242e-25 , 2.4505e+34 , 
-45.967 , 1.25242e-25 , 2.44675e+34 , 
-45.9664 , 1.25242e-25 , 2.443e+34 , 
-45.9659 , 1.25242e-25 , 2.43927e+34 , 
-45.9654 , 1.25242e-25 , 2.43553e+34 , 
-45.9649 , 1.25242e-25 , 2.43181e+34 , 
-45.9644 , 1.25242e-25 , 2.42808e+34 , 
-45.9639 , 1.25242e-25 , 2.42437e+34 , 
-45.9634 , 1.25242e-25 , 2.42066e+34 , 
-45.9629 , 1.25242e-25 , 2.41695e+34 , 
-45.9624 , 1.25242e-25 , 2.41325e+34 , 
-45.9618 , 1.25242e-25 , 2.40956e+34 , 
-45.9613 , 1.25242e-25 , 2.40587e+34 , 
-45.9608 , 1.25242e-25 , 2.40219e+34 , 
-45.9603 , 1.25242e-25 , 2.39851e+34 , 
-45.9598 , 1.25242e-25 , 2.39484e+34 , 
-45.9593 , 1.25242e-25 , 2.39118e+34 , 
-45.9588 , 1.25242e-25 , 2.38752e+34 , 
-45.9583 , 1.25242e-25 , 2.38387e+34 , 
-45.9578 , 1.25242e-25 , 2.38022e+34 , 
-45.9573 , 1.25242e-25 , 2.37658e+34 , 
-45.9567 , 1.25242e-25 , 2.37294e+34 , 
-45.9562 , 1.25242e-25 , 2.36931e+34 , 
-45.9557 , 1.25242e-25 , 2.36568e+34 , 
-45.9552 , 1.25242e-25 , 2.36206e+34 , 
-45.9547 , 1.25242e-25 , 2.35845e+34 , 
