 ell ,  cell_TT , 
269 , 4113.61 , 
270 , 4078.84 , 
271 , 4043.89 , 
272 , 4008.78 , 
273 , 3973.53 , 
274 , 3938.15 , 
275 , 3902.65 , 
276 , 3867.07 , 
277 , 3831.4 , 
278 , 3795.66 , 
279 , 3759.86 , 
280 , 3724.02 , 
281 , 3688.16 , 
282 , 3652.28 , 
283 , 3616.39 , 
284 , 3580.52 , 
285 , 3544.67 , 
286 , 3508.86 , 
287 , 3473.11 , 
288 , 3437.43 , 
289 , 3401.82 , 
290 , 3366.32 , 
291 , 3330.93 , 
292 , 3295.67 , 
293 , 3260.55 , 
294 , 3225.59 , 
295 , 3190.8 , 
296 , 3156.21 , 
297 , 3121.82 , 
298 , 3087.65 , 
299 , 3053.73 , 
300 , 3020.06 , 
301 , 2986.66 , 
302 , 2953.54 , 
303 , 2920.71 , 
304 , 2888.17 , 
305 , 2855.94 , 
306 , 2824.02 , 
307 , 2792.42 , 
308 , 2761.15 , 
309 , 2730.2 , 
310 , 2699.6 , 
311 , 2669.35 , 
312 , 2639.45 , 
313 , 2609.92 , 
314 , 2580.75 , 
315 , 2551.96 , 
316 , 2523.55 , 
317 , 2495.53 , 
318 , 2467.91 , 
319 , 2440.69 , 
320 , 2413.88 , 
321 , 2387.49 , 
322 , 2361.52 , 
323 , 2335.98 , 
324 , 2310.87 , 
325 , 2286.2 , 
326 , 2261.98 , 
327 , 2238.21 , 
328 , 2214.9 , 
329 , 2192.05 , 
330 , 2169.67 , 
331 , 2147.77 , 
332 , 2126.34 , 
333 , 2105.4 , 
334 , 2084.95 , 
335 , 2065 , 
336 , 2045.54 , 
337 , 2026.59 , 
338 , 2008.15 , 
339 , 1990.22 , 
340 , 1972.81 , 
341 , 1955.92 , 
342 , 1939.56 , 
343 , 1923.73 , 
344 , 1908.43 , 
345 , 1893.67 , 
346 , 1879.45 , 
347 , 1865.78 , 
348 , 1852.65 , 
349 , 1840.08 , 
350 , 1828.06 , 
351 , 1816.6 , 
352 , 1805.69 , 
353 , 1795.34 , 
354 , 1785.55 , 
355 , 1776.31 , 
356 , 1767.61 , 
357 , 1759.47 , 
358 , 1751.87 , 
359 , 1744.82 , 
360 , 1738.31 , 
361 , 1732.33 , 
362 , 1726.89 , 
363 , 1721.98 , 
364 , 1717.6 , 
365 , 1713.74 , 
366 , 1710.4 , 
367 , 1707.57 , 
368 , 1705.26 , 
369 , 1703.45 , 
370 , 1702.13 , 
371 , 1701.31 , 
372 , 1700.98 , 
373 , 1701.13 , 
374 , 1701.76 , 
375 , 1702.85 , 
376 , 1704.41 , 
377 , 1706.42 , 
378 , 1708.87 , 
379 , 1711.77 , 
380 , 1715.1 , 
381 , 1718.85 , 
382 , 1723.01 , 
383 , 1727.58 , 
384 , 1732.54 , 
385 , 1737.89 , 
386 , 1743.62 , 
387 , 1749.72 , 
388 , 1756.17 , 
389 , 1762.96 , 
390 , 1770.09 , 
391 , 1777.55 , 
392 , 1785.31 , 
393 , 1793.38 , 
394 , 1801.73 , 
395 , 1810.36 , 
396 , 1819.24 , 
397 , 1828.38 , 
398 , 1837.75 , 
399 , 1847.35 , 
400 , 1857.15 , 
401 , 1867.14 , 
402 , 1877.33 , 
403 , 1887.69 , 
404 , 1898.24 , 
405 , 1908.95 , 
406 , 1919.83 , 
407 , 1930.87 , 
408 , 1942.07 , 
409 , 1953.41 , 
410 , 1964.9 , 
411 , 1976.52 , 
412 , 1988.27 , 
413 , 2000.15 , 
414 , 2012.14 , 
415 , 2024.24 , 
416 , 2036.44 , 
417 , 2048.74 , 
418 , 2061.13 , 
419 , 2073.59 , 
420 , 2086.13 , 
421 , 2098.74 , 
422 , 2111.4 , 
423 , 2124.11 , 
424 , 2136.85 , 
425 , 2149.64 , 
426 , 2162.44 , 
427 , 2175.26 , 
428 , 2188.08 , 
429 , 2200.91 , 
430 , 2213.72 , 
431 , 2226.5 , 
432 , 2239.26 , 
433 , 2251.97 , 
434 , 2264.63 , 
435 , 2277.24 , 
436 , 2289.77 , 
437 , 2302.22 , 
438 , 2314.57 , 
439 , 2326.82 , 
440 , 2338.96 , 
441 , 2350.98 , 
442 , 2362.85 , 
443 , 2374.58 , 
444 , 2386.15 , 
445 , 2397.55 , 
446 , 2408.76 , 
447 , 2419.78 , 
448 , 2430.6 , 
449 , 2441.19 , 
450 , 2451.55 , 
451 , 2461.66 , 
452 , 2471.53 , 
453 , 2481.15 , 
454 , 2490.52 , 
455 , 2499.65 , 
456 , 2508.52 , 
457 , 2517.15 , 
458 , 2525.52 , 
459 , 2533.64 , 
460 , 2541.51 , 
461 , 2549.13 , 
462 , 2556.49 , 
463 , 2563.61 , 
464 , 2570.46 , 
465 , 2577.07 , 
